Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,titre,to_translate,API
0,0,0,0,Ses02M_impro02_F000, I don't want you to go.,
1,1,1,1,Ses02M_impro02_M000," I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.",
2,2,2,2,Ses02M_impro02_F001," I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.",
3,3,3,3,Ses02M_impro02_F002, I don't want to be a single mom.,
4,4,4,4,Ses02M_impro02_M001," You won't be. I'll be back; I'll be back before you know it. All right, and",
5,5,5,5,Ses02M_impro02_F003, but,
6,6,6,6,Ses02M_impro02_M002, and,
7,7,7,7,Ses02M_impro02_F004, It's dangerous; I mean how can you make sure that you'll,
8,8,8,8,Ses02M_impro02_M003," It's- It's dangerous anywhere, honey. I mean this is -this- I'm just going to go and we'll get it over with,",
9,9,9,9,Ses02M_impro02_M004," I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us.",
10,10,10,10,Ses02M_impro02_F005, I hope so.,
11,11,11,11,Ses02M_impro02_M005, A little family.,
12,12,12,12,Ses02M_impro02_F006, I hope so.,
13,13,13,13,Ses02M_impro02_M006, You gotta,
14,14,14,14,Ses02M_impro02_F007, It's going to be really rough.,
15,15,15,15,Ses02M_impro02_M007," You gotta take care of our baby for me, alright?",
16,16,16,16,Ses02M_impro02_F008, I'll send you lots of pictures.,
17,17,17,17,Ses02M_impro02_M008," I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.",
18,18,18,18,Ses02M_impro02_M009, I've never been - I've never been away from you for two weeks let alone a year.,
19,19,19,19,Ses02M_impro02_F009," Well, just promise me that you going to be safe.",
20,20,20,20,Ses02M_impro02_F010," I mean can't they put you in like, you know kitchen work or something where you won't get",
21,21,21,21,Ses02M_impro02_M010," No, it doesn't work that way",
22,22,22,22,Ses02M_impro02_M011," but, I mean, I'm going to do whatever I can and get back here as fast as I can.",
23,23,23,23,Ses02M_impro02_F011, It doesn't make any sense; I don't know why we have to be at war in the first place.,
24,24,24,24,Ses02M_impro02_M012," I know, but it's not our decision, I guess, you know, I mean",
25,25,25,25,Ses02M_impro02_M013, there's people that thought it was the right thing to do so now we have to- we have to do what we have to do for our country,
26,26,26,26,Ses02M_impro02_M014," and it'll work out you know, go there and do that. Yeah, I'll be back",
27,27,27,27,Ses02M_impro02_F012," Will you write me letters, paper ones?",
28,28,28,28,Ses02M_impro02_M015," Yeah, of course. I don't know if we'll have computers or anything like that you know, so probably my only option then.",
29,29,29,29,Ses02M_impro02_M016," Yeah, I'll write you every day 'cause you're the only thing that's going to be on my mind.",
30,30,30,30,Ses02M_impro02_F013," Our baby needs a dad; you can't leave. Okay, you can't disappear.",
31,31,31,31,Ses02M_impro02_M017," Our baby has a dad, alright. Daddy is going to be back soon.",
32,32,32,32,Ses02M_impro02_M018," I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",
33,33,33,33,Ses02M_impro02_F014, I'll miss you too.,
34,34,34,34,Ses03M_impro02_M000, Hey sweetie.,
35,35,35,35,Ses03M_impro02_M001, Hey.,
36,36,36,36,Ses03M_impro02_F000, Um.,
37,37,37,37,Ses03M_impro02_F001," How's it- going?  Oh I'm so tired.  Oh, I just woke up. Mmm.",
38,38,38,38,Ses03M_impro02_F002, What's going on?,
39,39,39,39,Ses03M_impro02_M002," Uh, -Um",
40,40,40,40,Ses03M_impro02_F003, Why the sad face?,
41,41,41,41,Ses03M_impro02_M003, they need me out there sooner than I thought,
42,42,42,42,Ses03M_impro02_F004, Where?  Who?  What are you talking about?,
43,43,43,43,Ses03M_impro02_M004, They want to deploy me next week.,
44,44,44,44,Ses03M_impro02_F005, Next week?,
45,45,45,45,Ses03M_impro02_F006, Overseas?,
46,46,46,46,Ses03M_impro02_M005, For--,
47,47,47,47,Ses03M_impro02_F007, For how long this time?,
48,48,48,48,Ses03M_impro02_M006, They said anywhere from two to three years.,
49,49,49,49,Ses03M_impro02_F008, What?  What do you mean two to three years?  Don't they know that you have a wife and an expectant child?,
50,50,50,50,Ses03M_impro02_M007, I told them that but they--,
51,51,51,51,Ses03M_impro02_F009, Honey--,
52,52,52,52,Ses03M_impro02_M008, --need me on the specialist honey.,
53,53,53,53,Ses03M_impro02_F010, You can't.  We need you.  I need you.,
54,54,54,54,Ses03M_impro02_M009," I don't want to go but,-",
55,55,55,55,Ses03M_impro02_F011, I don't care about the money.,
56,56,56,56,Ses03M_impro02_M010, but they said they'd increase my pay by triple-there promotion.,
57,57,57,57,Ses03M_impro02_F012, And you're leaving next week so you won't even be here for Anna's birth?,
58,58,58,58,Ses03M_impro02_M011, No.,
59,59,59,59,Ses03M_impro02_F013, Do this whole thing by myself?,
60,60,60,60,Ses03M_impro02_M012, Honey you're not going to be by yourself--,
61,61,61,61,Ses03M_impro02_M013," We'll have internet set up, we'll get web cameras and everything.  My whole family's here too.",
62,62,62,62,Ses03M_impro02_F014, Carry her for nine months and then yes.,
63,63,63,63,Ses03M_impro02_M014, Honey.,
64,64,64,64,Ses03M_impro02_F015, It's not the same thing.  It's not like having you here.,
65,65,65,65,Ses03M_impro02_F016, I can't do this.,
66,66,66,66,Ses03M_impro02_M015," You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright?",
67,67,67,67,Ses03M_impro02_F017, I'm sick of being strong-- --for us.,
68,68,68,68,Ses03M_impro02_M016, I don't know what to do.,
69,69,69,69,Ses03M_impro02_M017, I don't want to - I don't- I don't want to go.,
70,70,70,70,Ses03M_impro02_M018, What am I supposed to do?,
71,71,71,71,Ses03M_impro02_F018, You can say no?,
72,72,72,72,Ses03M_impro02_M019, You know I can't say no.,
73,73,73,73,Ses03M_impro02_F019, You could.  You really could.  You could-- --get into another line of work.  I could start working after Anna's born?,
74,74,74,74,Ses03M_impro02_M020, The last guy who said no was fired.,
75,75,75,75,Ses03M_impro02_M021, I put in fifteen years in this job.,
76,76,76,76,Ses03M_impro02_F020, I know.,
77,77,77,77,Ses03M_impro02_M022, I'm so close.  Five more years and I retire-,
78,78,78,78,Ses03M_impro02_M023, and we'll have that happy life.,
79,79,79,79,Ses03M_impro02_F021, Happiness for me is having you here with me,
80,80,80,80,Ses03M_impro02_F022," and watch our child grow, see her take her first steps, her first words.",
81,81,81,81,Ses03M_impro02_M024, Honey after a year I can be back.,
82,82,82,82,Ses03M_impro02_F023, You said two years.,
83,83,83,83,Ses03M_impro02_M025, They want me there two years but I could probably get,
84,84,84,84,Ses03M_impro02_M026, maybe get some vacation-- --once it quiets down there.,
85,85,85,85,Ses03M_impro02_F024, A whole year? --We're not talking about like a couple months here.  I mean this is a whole year.,
86,86,86,86,Ses03M_impro02_M027, I know.  I know.  But they really need some good guys there.,
87,87,87,87,Ses03M_impro02_F025, What could happen in a year?,
88,88,88,88,Ses03M_impro02_F026, And this isn't the first time you know?  I mean you always...sending you off to different places and...,
89,89,89,89,Ses03M_impro02_M028, Well that's the kind of work I'm in honey.,
90,90,90,90,Ses03M_impro02_F027, I don't know if that's how I want to live my life.,
91,91,91,91,Ses03M_impro02_M029, It's just going to be--it's going to go faster than you think.,
92,92,92,92,Ses03M_impro02_F028," Joe I'm serious I don't want to have to have a little girl to tell...asking every day where's daddy, where's daddy and have to tell her that he's away--",
93,93,93,93,Ses03M_impro02_F029, far away and he won't be here.,
94,94,94,94,Ses03M_impro02_M030, You tell her-- [BREATHING],
95,95,95,95,Ses03M_impro02_F030, I'm done.  I can't honey.,
96,96,96,96,Ses03M_impro02_M031, What do you mean?,
97,97,97,97,Ses03M_impro02_F031, It's over.,
98,98,98,98,Ses03M_impro02_M032, What?,
99,99,99,99,Ses03M_impro02_F032, Honey I can't do it anymore.,
100,100,100,100,Ses03M_impro02_M033, Are you kidding me?  No.,
101,101,101,101,Ses03M_impro02_F033, I need you here.  Anna needs you.,
102,102,102,102,Ses03M_impro02_M034, So I have--you want me to choose between you guys or my career?,
103,103,103,103,Ses03M_impro02_F034, yeah.,
